我,送,你,那,里	C-PN,C-VV,C-PN,M-PN,C-PN
有,时,候,连,在,路,上,你,丢,垃,圾	C-AD,C-AD,C-AD,C-AD,C-P,C-NN,C-NN,C-PN,M-VV,C-NN,C-NN
但,什,么,花,比,不,上,妳,的,美,丽	C-AD,C-DT,C-DT,C-NN,M-VV,C-VV,C-VV,C-VV,C-DEC,C-VA,C-VA
你,一,定,会,过,瘾,的	C-PN,C-AD,C-AD,C-VV,M-VV,C-VV,C-SP
你,小,心,喝,太,多,酒	C-PN,C-AD,C-AD,M-VV,C-AD,C-CD,C-NN
免,得,我,被,吵,醒,之,后,没,办,法,再,睡,了	C-VV,C-VV,C-PN,C-SB,C-VV,C-VV,C-LC,C-LC,M-VE,C-NN,C-NN,C-AD,C-VV,C-VV
我,全,部,的,钱,是,父,母,的	C-PN,C-DT,C-DT,C-DEG,C-NN,M-VC,C-NN,C-NN,C-SP
我,每,次,花,了,很,多,钱	C-PN,C-AD,C-AD,M-VV,C-AS,C-CD,C-CD,C-NN
我,的,台,湾,生,活,一,定,会,辛,苦	C-PN,C-DEG,C-NR,C-NR,C-NN,C-NN,C-AD,C-AD,C-VV,M-VA,C-VA
我,知,道,他,们,挖,苦,我	C-PN,C-VV,C-VV,C-PN,C-PN,M-VV,C-VV,C-PN
我,还,记,得,清,楚	C-PN,C-AD,C-VV,C-VV,M-VA,C-VA
我,觉,得,每,个,人,大,概,受,到,别,人,的,帮,助	C-PN,C-VV,C-VV,C-DT,C-DT,C-NN,C-AD,C-AD,M-VV,C-VV,C-NN,C-NN,C-DEG,C-NN,C-NN
我,觉,得,紧,张	C-PN,C-VV,C-VV,M-VA,C-VA
每,次,去,喝,一,样,的	C-AD,C-AD,C-VV,M-VV,C-VA,C-VA,C-DEC
每,次,你,的,信,让,我,开,心	C-AD,C-AD,C-PN,C-DEG,C-NN,M-VV,C-PN,C-VA,C-VA
每,个,人,在,他,的,生,活,中,会,碰,到,这,样,的,人	C-DT,C-DT,C-NN,C-P,C-PN,C-DEG,C-NN,C-NN,C-LC,M-VV,C-VV,C-VV,C-JJ,C-JJ,C-DEG,C-NN
每,个,人,需,要,别,人,的,帮,助	C-DT,C-DT,C-NN,M-VV,C-VV,C-PN,C-PN,C-DEG,C-NN,C-NN
所,以,现,在,也,记,得,清,楚	C-AD,C-AD,C-NT,C-NT,C-AD,C-VV,C-VV,M-VA,C-VA
真,的,奇,怪	C-VA,C-DEC,M-VA,C-VA
这,样,她,不,会,有,难,过,的,感,觉	C-AD,C-AD,C-PN,M-AD,C-VV,C-VE,C-AD,C-VV,C-DEC,C-NN,C-NN
虽,然,每,天,不,容,易,可,是,因,为,他,我,很,幸,福	C-CS,C-CS,C-AD,C-AD,M-AD,C-VA,C-VA,C-AD,C-AD,C-P,C-P,C-PN,C-PN,C-AD,C-VA,C-VA
让,爸,爸,心,里,失,望	C-VV,C-NN,C-NN,C-NN,C-NN,M-VV,C-VV
已,经,穿,的,衣,服,把,它,洗,一,洗	C-AD,C-AD,C-VV,M-DEC,C-NN,C-NN,C-BA,C-PN,C-VV,C-CD,C-NN
不,过,实,际,上,你,来,之,后	C-AD,C-AD,C-AD,C-AD,C-AD,C-PN,C-VV,M-LC,C-LC
她,跟,我,说,很,多	C-PN,C-P,C-PN,C-VV,M-AD,C-VA
而,且,看,新,闻,好,像,来,台,风	C-AD,C-AD,C-VV,C-NN,C-NN,C-AD,C-AD,C-VV,M-NN,C-NN
我,一,直,后,悔,没,有,在,陈,老,师,活,的,时,候,对,他,说,声,谢,谢	C-PN,C-AD,C-AD,C-VV,C-VV,C-AD,C-AD,C-P,C-NR,C-NN,C-NN,C-VV,M-DEC,C-NN,C-NN,C-P,C-PN,C-VV,C-M,C-VV,C-VV
我,在,乡,下,路,上,开,车,时,看,到,一,个,女,孩,走,路	C-PN,C-P,C-NN,C-NN,C-NN,C-NN,C-VV,C-VV,C-LC,C-VV,C-VV,C-CD,C-CD,C-NN,C-NN,M-VV,C-VV
我,看,她,带,来,的,书	C-PN,C-VV,M-PN,C-VV,C-VV,C-DEC,C-NN
我,们,上,次,已,经,说	C-PN,C-PN,C-AD,C-AD,C-AD,C-AD,C-VV
我,们,已,经,讨,论	C-PN,C-PN,C-AD,C-AD,C-VV,C-VV
我,们,就,参,观,很,多,地,方	C-PN,C-PN,C-AD,C-VV,C-VV,M-CD,C-CD,C-NN,C-NN
我,们,发,生,一,个,意,外	C-PN,C-PN,C-VV,C-VV,M-CD,C-CD,C-NN,C-NN
我,记,得,你,说,你,是,在,台,北,出,生,的	C-PN,C-VV,C-VV,C-PN,C-VV,M-PN,C-VC,C-P,C-NR,C-NR,C-VV,C-VV,C-SP
把,用,的,盘,子,放,在,桌,子,上	C-BA,C-VV,M-DEC,C-NN,C-NN,C-VV,C-P,C-NN,C-NN,C-LC
那,里,写,送,一,个,冰,淇,淋	C-PN,C-PN,C-VV,M-VV,C-CD,C-CD,C-NN,C-NN,C-NN
所,以,买,一,张,唱,片	C-AD,C-AD,C-VV,M-CD,C-M,C-NN,C-NN
既,然,新,年,晚,会,很,快,就,要,到	C-CS,C-CS,C-NT,C-NT,C-NN,C-NN,C-AD,C-AD,C-AD,C-VV,C-VV
要,不,然,可,能,又,浪,费	C-AD,C-AD,C-AD,C-VV,C-VV,C-AD,C-VV,C-VV
马,上,就,把,用,的,盘,子,洗,一,洗	C-AD,C-AD,C-AD,C-BA,C-VV,M-DEC,C-NN,C-NN,C-VV,C-CD,C-NN
现,在,我,存,好,多,钱	C-NT,C-NT,C-PN,C-VV,M-CD,C-CD,C-NN
大,概,怕,得,说,不,出,话	C-AD,C-AD,M-VV,C-DER,C-VV,C-AD,C-VV,C-NN
不,过,那,张,照,片,不,一,定,让,你,认,出,我	C-AD,C-AD,C-DT,C-M,C-NN,C-NN,C-AD,C-AD,C-AD,M-VV,C-PN,C-VV,C-VV,C-PN
可,之,后,由,态,度,来,表,达,请,他,们,不,管,我	C-VV,C-LC,C-LC,C-P,C-NN,C-NN,C-MSP,C-VV,C-VV,C-VV,C-PN,C-PN,C-AD,M-VV,C-VV
因,为,下,个,月,我,们,学,校,都,放,两,个,月,的,暑,假	C-P,C-P,C-DT,C-M,C-NN,C-PN,C-PN,C-NN,C-NN,C-AD,M-VV,C-CD,C-M,C-NN,C-DEG,C-NN,C-NN
而,且,更,严,重,的,话,也,许,住,院	C-AD,C-AD,C-AD,C-VA,C-VA,C-DEC,C-NN,C-AD,C-AD,M-VV,C-VV
你,知,不,知,道,为,甚,么,我,这,么,帮,你	C-PN,C-VV,C-VV,C-VV,C-VV,C-VV,C-VV,C-VV,C-PN,M-AD,C-AD,C-VV,C-VV
我,也,努,力,改,变	C-PN,C-AD,M-AD,C-AD,C-VV,C-VV
我,希,望,早,一,点,跟,你,见,面	C-PN,C-VV,C-VV,M-VA,C-AD,C-AD,C-P,C-PN,C-VV,C-VV
我,希,望,你,了,解,我	C-PN,C-VV,C-VV,C-PN,M-AS,C-NN,C-NN
我,们,刚,刚,决,定,新,年,晚,会,的,时,候,做,甚,么	C-PN,C-PN,C-AD,C-AD,C-VV,C-VV,C-NT,C-NT,C-NN,C-NN,C-DEG,C-NN,C-NN,M-VV,C-DT,C-DT
我,麻,烦,你	C-PN,M-VV,C-VV,C-PN
所,以,一,个,人,去,的,话,应,该,无,聊	C-AD,C-AD,C-CD,C-CD,C-NN,C-VV,C-DEC,C-NN,C-VV,C-VV,M-VV,C-VV
所,以,我,们,练,习,的,时,间,都,配,合	C-AD,C-AD,C-PN,C-PN,C-VV,C-VV,C-DEC,C-NN,C-NN,C-AD,M-VV,C-VV
还,有,在,动,物,园,应,该,走,很,久,的,时,间	C-AD,C-AD,C-P,C-NN,C-NN,C-NN,C-VV,C-VV,M-VV,C-AD,C-VA,C-DEC,C-NN,C-NN
我,行,李,放,下,来,之,后	C-PN,M-NN,C-NN,C-VV,C-VV,C-VV,C-LC,C-LC
为,了,你,马,上,找,到,我	C-P,C-P,M-PN,C-AD,C-AD,C-VV,C-VV,C-PN
国,语,中,心,为,了,观,众,享,受,我,们,的,表,演	C-NN,C-NN,C-NN,C-NN,C-P,C-P,M-NN,C-NN,C-VV,C-VV,C-PN,C-PN,C-DEG,C-NN,C-NN
还,有,是,一,个,很,好,的,机,会,家,人,在,一,起	C-AD,C-AD,C-VC,C-CD,C-CD,C-AD,C-VA,C-DEC,C-NN,C-NN,M-NN,C-NN,C-VV,C-AD,C-AD
所,以,如,果,你,也,看,到,城,市,里,面,那,风,景,的,话	C-AD,C-AD,C-CS,C-CS,C-PN,C-AD,C-VV,C-VV,C-NN,C-NN,C-NN,C-NN,C-DT,M-NN,C-NN,C-DEG,C-NN
替,我,申,请,好,几,奖,学,金	C-P,C-PN,C-VV,C-VV,C-CD,C-CD,M-NN,C-NN,C-NN
一,定,要,买,很,好,位,子,的,票	C-AD,C-AD,C-VV,C-VV,C-AD,C-JJ,M-NN,C-NN,C-DEG,C-NN
今,天,我,要,报,告,我,们,班,讨,论,过,的,关,于,表,演,节,目	C-NT,C-NT,C-PN,C-VV,C-VV,C-VV,C-PN,C-PN,C-NN,C-VV,C-VV,C-AS,C-DEC,C-P,C-P,C-NN,C-NN,M-NN,C-NN
今,年,我,去,我,朋,友,国,家,旅,行	C-NT,C-NT,C-PN,C-VV,C-PN,C-NN,C-NN,M-NN,C-NN,C-NN,C-NN
她,也,没,有,别,男,人	C-PN,C-AD,C-AD,C-AD,C-AD,M-NN,C-NN
我,在,饭,店,丢,了,我,钱,包	C-PN,C-P,C-NN,C-NN,C-VV,C-AS,C-PN,M-NN,C-NN
我,很,小,时,候	C-PN,C-AD,C-NT,M-NT,C-NT
我,看,到,了,一,家,小,小,店	C-PN,C-VV,C-VV,C-AS,C-CD,C-M,C-NN,C-NN,M-NN
我,现,在,只,想,对,他,说,就,是,谢,谢,而,已	C-PN,C-NT,C-NT,C-AD,C-VV,C-P,C-PN,C-VV,M-AD,C-VC,C-VV,C-VV,C-SP,C-SP
我,终,于,买,了,一,台,苹,果,公,司,笔,电	C-PN,C-AD,C-AD,C-VV,C-AS,C-CD,C-M,C-NN,C-NN,C-NN,C-NN,M-NN,C-NN
我,觉,得,我,们,会,准,备,比,较,好	C-PN,C-VV,C-VV,C-PN,C-PN,C-VV,C-VV,C-VV,M-AD,C-AD,C-VA
那,就,是,我,王,老,师	C-PN,C-AD,C-VC,C-PN,M-NN,C-NN,C-NN
那,边,风,景,美,不,胜,收	C-PN,C-PN,M-NN,C-NN,C-VA,C-AD,C-VA,C-VA
是,因,为,我,们,都,是,不,同,的,国,家,人	C-VC,C-P,C-P,C-PN,C-PN,C-AD,C-VC,C-VA,C-VA,D-DEC,C-NN,C-NN,C-NN
刚,来,台,湾,时,候	C-AD,C-VV,C-NR,C-NR,M-NN,C-NN
然,后,她,知,道,我,家,环,境,了	C-AD,C-AD,C-PN,C-VV,C-VV,C-NN,C-NN,M-NN,C-NN,C-SP
让,我,回,想,到,我,刚,来,台,湾,时,候	C-VV,C-PN,C-VV,C-VV,C-VV,C-PN,C-AD,C-VV,C-NR,C-NR,M-NN,C-NN
我,们,以,前,是,很,好,朋,友	C-PN,C-PN,C-NT,C-NT,C-VC,C-AD,C-JJ,M-NN,C-NN
最,近,发,现,到,你,的,一,些,生,活,习,惯,影,响,到,彼,此,作,息	C-NT,C-NT,C-VV,C-VV,C-VV,C-PN,C-DEG,C-CD,C-CD,C-NN,C-NN,C-NN,C-NN,C-VV,C-VV,C-VV,C-PN,C-PN,M-NN,C-NN
因,为,她,不,管,是,什,么,时,候,都,会,站,在,我,一,边	C-P,C-P,C-PN,C-AD,C-VV,C-VC,C-DT,C-DT,C-NN,C-NN,C-AD,C-VV,C-VV,C-P,C-PN,M-AD,C-AD
所,以,我,决,定,把,一,封,信,写,下,来,给,你	C-AD,C-AD,C-PN,C-VV,C-VV,C-BA,M-CD,C-M,C-NN,C-VV,C-LC,C-VV,C-VV,C-PN
也,要,从,她,来,学,习,怎,么,做,人	C-AD,C-VV,C-P,C-PN,M-VV,C-VV,C-VV,C-AD,C-AD,C-VV,C-NN
他,除,了,一,个,礼,拜,好,几,次,跟,我,见,面,教,我,怎,么,跑,步	C-PN,C-P,C-P,C-CD,C-CD,C-NN,C-NN,C-AD,C-AD,C-AD,C-P,C-PN,C-VV,C-VV,C-VV,C-PN,C-AD,C-AD,C-VV,C-VV
我,们,觉,得,喜,欢,年,轻,女,孩,的,人,是,很,特,别	C-PN,C-PN,C-VV,C-VV,C-VV,C-VV,C-JJ,C-JJ,C-NN,C-NN,C-DEC,C-NN,C-VC,C-AD,C-VA,C-VA
我,从,那,时,候,每,天,都,在,想,这,件,事	C-PN,C-P,C-DT,C-NN,C-NN,M-AD,C-AD,C-AD,C-AD,C-VV,C-DT,C-M,C-NN
我,第,一,个,礼,拜,的,生,活,是,最,难,过	C-PN,C-OD,C-OD,C-M,C-NN,C-NN,C-DEG,C-NN,C-NN,C-VC,C-AD,C-VA,C-VV
连,开,不,能,开	C-AD,C-AD,M-AD,C-VV,C-VV
因,为,在,我,们,的,客,厅,有,很,多,啤,酒,罐	C-P,C-P,C-P,C-PN,C-PN,C-DEG,C-NN,C-NN,M-VE,C-CD,C-CD,C-NN,C-NN,C-NN
你,是,世,界,最,好,的,妈,妈	C-PN,C-VC,C-NN,C-NN,M-AD,C-VA,C-DEC,C-NN,C-NN
我,希,望,您,以,后,不,要,在,寝,室,吃,东,西	C-PN,C-VV,C-VV,C-PN,C-AD,C-AD,C-AD,C-AD,C-P,C-NN,C-NN,M-VV,C-NN,C-NN
然,后,我,带,了,东,西,到,我,的,车	C-AD,C-AD,C-PN,C-VV,C-AS,C-NN,C-NN,C-VV,C-PN,C-DEG,C-NN
他,马,上,把,车,门,开,了,叫,我,上	C-PN,C-AD,C-AD,C-BA,C-NN,C-NN,C-VV,C-AS,C-VV,C-PN,C-VV
因,为,四,国,是,我,好,朋,友,住,的	C-P,C-P,C-CD,C-NN,C-VC,C-PN,C-JJ,C-NN,C-NN,C-VV,C-SP
我,的,目,标,是,成,为,用,中,文,来,帮,助,别,人,的	C-PN,C-DEG,C-NN,C-NN,C-VC,C-VV,C-VV,C-P,C-NN,C-NN,C-MSP,C-VV,C-VV,C-NN,C-NN,C-SP
我,的,老,板,陪,我,去,我,们,顾,客,一,起,吃,饭	C-PN,C-DEG,C-NN,C-NN,C-VV,C-PN,C-VV,C-PN,C-PN,C-NN,C-NN,M-AD,C-AD,C-VV,C-VV
我,们,要,从,最,低,的,地,方,爬,到,最,高,的	C-PN,C-PN,C-VV,C-P,C-JJ,C-JJ,C-DEG,C-NN,C-NN,C-VV,C-VV,C-AD,C-VA,C-SP
听,说,自,从,开,始,每,天,满,座	C-VV,C-VV,C-P,C-P,C-VV,C-VV,M-AD,C-AD,C-VV,C-VV
所,以,我,利,用,写,一,封,信,给,你	C-AD,C-AD,C-PN,C-VV,C-VV,C-VV,C-CD,C-M,C-NN,C-VV,C-PN
喝,酒,不,是,解,决	C-VV,C-VV,C-AD,C-VC,C-VV,C-VV
发,生,这,样,的,事,情,是,在,我,的,人,生,中	C-VV,C-VV,C-JJ,C-JJ,C-DEG,C-NN,C-NN,C-VC,C-P,C-PN,C-DEG,C-NN,C-NN,C-LC
他,请,我,教,日,文	C-PN,C-VV,C-PN,C-VV,M-NN,C-NN
那,时,候,你,忘,了,锁	C-DT,C-NN,C-NN,C-PN,C-VV,C-AS,C-NN
所,以,有,甚,么,问,题,可,以,问,喔	C-AD,C-AD,C-VE,C-DT,C-DT,C-NN,C-NN,C-VV,C-VV,C-VV,M-VV
请,你,们,考,虑,这,个,问,题,告,诉,你,们,的,看,法	C-VV,C-PN,C-PN,C-VV,C-VV,C-DT,C-DT,C-NN,C-NN,C-VV,C-VV,M-PN,C-PN,C-DEG,C-NN,C-NN
请,您,跟,国,语,中,心,帮,决,定	C-VV,C-PN,C-P,C-NN,C-NN,C-NN,C-NN,C-VV,M-VV,C-VV
生,活,当,中,拿,自,己,的,经,验,来,热,心,地,帮,忙,别,人	M-NN,C-NN,C-LC,C-LC,C-VV,C-PN,C-PN,C-DEG,C-NN,C-NN,C-MSP,C-VV,C-VV,C-VV,C-VV,C-VV,C-NN,C-NN
因,为,那,个,时,候,我,们,班,的,同,学,与,老,师,都,要,舞,台,上,一,起,跳,舞	C-P,C-P,C-DT,C-DT,C-NN,C-NN,C-PN,C-PN,C-NN,C-DEG,C-NN,C-NN,C-CC,C-NN,C-NN,C-AD,C-VV,M-NN,C-NN,C-LC,C-AD,C-AD,C-VV,C-VV
你,以,前,告,诉,我,你,不,太,熟,台,北,市	C-PN,C-NT,C-NT,C-VV,C-VV,C-NN,D-NN,C-AD,C-AD,C-VV,C-NR,C-NR,C-NR
你,家,附,近,还,不,熟	M-NN,C-NN,C-NN,C-NN,C-AD,C-AD,C-VA
你,这,样,子,做,不,但,你,的,健,康,好	C-PN,C-AD,C-AD,C-NN,C-VV,C-AD,C-AD,M-PN,C-DEG,C-NN,C-NN,C-VA
我,们,可,以,这,样,做,就,可,以,新,朋,友,过,一,个,很,快,乐,的,一,天	C-PN,C-PN,C-VV,C-VV,C-AD,C-AD,C-VV,C-AD,C-VV,C-VV,M-NR,C-NR,C-NR,C-VV,C-CD,C-CD,C-AD,C-VA,C-VA,C-DEC,C-CD,C-M
我,们,都,会,明,天,开,始,练,习	C-PN,C-PN,C-AD,C-VV,M-NT,C-NT,C-VV,C-VV,C-VV,C-VV
希,望,您,能,按,照,我,的,提,醒,改,善,的,生,活,习,惯	C-VV,C-VV,C-PN,C-VV,C-P,C-P,C-PN,C-DEG,C-NN,C-NN,C-VV,C-VV,M-DEC,C-NN,C-NN,C-NN,C-NN
那,个,活,动,我,们,要,先,准,备,很,多,不,需,要,的,东,西,要,给,他,们	C-DT,C-DT,C-NN,C-NN,C-PN,C-PN,C-VV,C-AD,C-VV,C-VV,C-CD,C-CD,M-JJ,C-JJ,C-JJ,C-DEG,C-NN,C-NN,C-VV,C-VV,C-PN,C-PN
在,生,活,上,你,碰,到,困,难,吗	C-P,C-VV,C-VV,C-VV,C-PN,C-VV,C-VV,M-NN,C-NN,C-SP
日,本,可,真,有,趣,的,地,方	C-NR,C-NR,C-AD,C-AD,M-VA,C-VA,C-DEC,C-NN,C-NN
他,的,回,答,不,要	C-PN,C-DEG,C-NN,C-NN,M-AD,C-AD
他,们,好,像,观,光,客	C-PN,C-PN,C-AD,C-AD,M-NN,C-NN,C-NN
他,觉,得,很,麻,烦,的,事	C-PN,C-VV,C-VV,M-AD,C-VA,C-VA,C-DEC,C-NN
可,是,我,觉,得,有,时,候,比,图,书,馆,好,的,地,方	C-AD,C-AD,C-PN,C-VV,C-VV,C-AD,C-AD,C-AD,M-P,C-NN,C-NN,C-NN,C-VA,C-DEC,C-NN,C-NN
我,说,这,些,事,情,为,了,你,好	C-PN,C-VV,C-DT,C-DT,C-NN,C-NN,M-P,C-P,C-VV,C-VV
我,觉,得,日,本,人,都,客,客,气,气,的,人	C-PN,C-VV,C-VV,C-NR,C-NR,C-NN,C-AD,M-VV,C-VV,C-VV,C-VV,C-DEC,C-NN
我,觉,得,有,一,点,不,舒,服,的,原,因,他,一,直,看,著,我	C-PN,C-VV,C-VV,C-VE,C-CD,C-CD,C-AD,C-VA,C-VA,C-DEC,C-NN,C-NN,M-PN,C-AD,C-AD,C-VV,C-VV,C-PN
我,觉,得,很,好,的,想,法	C-PN,C-VV,C-VV,M-AD,C-VA,C-DEC,C-NN,C-NN
那,天,我,们,两,个,决,定,要,见,面,的,一,天	C-NT,C-NT,M-PN,C-PN,C-CD,C-M,C-NN,C-NN,C-VV,C-VV,C-VV,C-DEC,C-CD,C-M
现,在,秋,天	C-NT,C-NT,M-NN,C-NN
这,件,事,情,可,以,说,「,自,己,快,乐,，,别,人,受,惠,」,吧	C-DT,C-M,C-NN,C-NN,C-VV,C-VV,C-VV,M-PU,C-PN,C-PN,C-VA,C-VA,C-PU,C-NN,C-NN,C-VV,C-VV,C-PU,C-SP
最,好,的,一,点,他,们,有,续,杯,的,啤,酒	C-JJ,C-JJ,C-DEG,C-CD,C-M,M-PN,C-PN,C-VE,C-VV,C-NN,C-DEC,C-NN,C-NN
周,末,最,合,适,的,时,间,见,面	C-NT,C-NT,M-AD,C-VA,C-VA,C-DEC,C-NN,C-NN,C-VV,C-VV
虽,然,绿,岛,非,常,好,的,地,方	C-CS,C-CS,C-NR,C-NR,M-AD,C-AD,C-VA,C-DEC,C-NN,C-NN
因,为,说,得,不,太,好	C-P,C-P,M-VV,C-DER,C-AD,C-AD,C-VA
我,觉,得,这,是,很,好,的,计,划,讨,论,一,下	C-PN,C-VV,C-VV,C-PN,C-VC,C-AD,C-VA,C-DEC,C-NN,C-NN,M-VV,C-VV,C-CD,C-M
所,以,他,的,哥,哥,死,了,以,后,一,直,哭	C-AD,C-AD,C-PN,C-DEG,C-NN,C-NN,C-VV,C-AS,C-LC,C-LC,M-AD,C-AD,C-VV
所,以,请,顺,便,帮,他,看,他,要,的,公,车	C-AD,C-AD,C-VV,M-AD,C-AD,C-VV,C-PN,C-VV,C-PN,C-VV,C-DEC,C-NN,C-NN
所,以,请,顺,便,帮,他,看,他,要,的,公,车	C-AD,C-AD,C-VV,M-AD,C-AD,C-VV,C-PN,C-VV,C-PN,C-VV,C-DEC,C-NN,C-NN
